Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,IMDb_rating,genre_1,genre_2,genre_3,MetaCritic,Runtime,content_rating,Country
Birdman or (The Unexpected Virtue of Ignorance),0.6666666666666288,0.058365758754863814,0.04497024105868911,Emma Stone,Naomi Watts,Merritt Wever,0.23076923076922995,Comedy,Drama,Suspense,0.6842105263157896,0.3146067415730336,R,USA
127 Hours,0.0,0.058365758754863814,0.01933456407954793,James Franco,Treat Williams,Kate Burton,0.07692307692307665,Adventure,Biography,Drama,0.5263157894736843,0.033707865168539186,R,USA
Midnight in Paris,0.16666666666662877,0.054474708171206226,0.060434113750187396,Kurt Fuller,Audrey Fleurot,Nina Arianda,0.1538461538461533,Comedy,Fantasy,Romance,0.4999999999999998,0.3707865168539324,PG-13,Spain
Moonrise Kingdom,0.3333333333333144,0.05058365758754863,0.04835685468327561,Bruce Willis,Bill Murray,Bob Balaban,0.23076923076922995,Adventure,Comedy,Drama,0.5789473684210524,0.033707865168539186,PG-13,USA
The King's Speech,0.0,0.046692607003891044,0.14797717172181665,Colin Firth,Jennifer Ehle,Derek Jacobi,0.38461538461538414,Biography,Drama,Suspense,0.6842105263157896,0.3033707865168538,R,UK
The Artist,0.16666666666662877,0.046692607003891044,0.04745988376488885,BÃÂ©rÃÂ©nice Bejo,Ed Lauter,Beth Grant,0.3076923076923075,Comedy,Drama,Romance,0.7105263157894737,0.101123595505618,PG-13,France
The Theory of Everything,0.6666666666666288,0.046692607003891044,0.03808411262833035,Eddie Redmayne,Emily Watson,Simon McBurney,0.1538461538461533,Biography,Drama,Romance,0.26315789473684204,0.3595505617977528,PG-13,UK
Drive,0.16666666666662877,0.046692607003891044,0.03719526183840646,Ryan Gosling,Albert Brooks,Russ Tamblyn,0.23076923076922995,Crime,Drama,Suspense,0.4210526315789471,0.101123595505618,R,USA
Ex Machina,0.6666666666666288,0.046692607003891044,0.026928768993319793,Elina Alminas,Sonoya Mizuno,Corey Johnson,0.1538461538461533,Drama,Mystery,Sci-Fi,0.4210526315789471,0.19101123595505598,R,UK
The Imitation Game,0.6666666666666288,0.04280155642023346,0.09706737278381135,Benedict Cumberbatch,Rory Kinnear,Allen Leech,0.4615384615384608,Biography,Drama,Thriller,0.2894736842105263,0.2584269662921348,PG-13,UK
Flipped,0.0,0.04280155642023346,0.001632115920510636,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,0.1538461538461533,Comedy,Drama,Romance,0.631578947368421,0.3707865168539324,PG,USA
Black Swan,0.0,0.038910505836575876,0.1139727829205276,Natalie Portman,Mila Kunis,Mark Margolis,0.38461538461538414,Drama,Thriller,Suspense,0.44736842105263164,0.19101123595505598,R,USA
The Perks of Being a Wallflower,0.3333333333333144,0.038910505836575876,0.018703560472473457,Logan Lerman,Ezra Miller,Kate Walsh,0.38461538461538414,Drama,Romance,Suspense,0.13157894736842102,0.12359550561797739,PG-13,USA
The Fault in Our Stars,0.6666666666666288,0.03501945525291829,0.13310539244265304,Shailene Woodley,Sam Trammell,Nat Wolff,0.23076923076922995,Drama,Romance,Suspense,0.18421052631578938,0.393258426966292,PG-13,USA
Philomena,0.5,0.03501945525291829,0.040028133746294194,Steve Coogan,Mare Winningham,Peter Hermann,0.07692307692307665,Biography,Drama,Suspense,0.39473684210526305,0.0786516853932584,PG-13,UK
Nebraska,0.5,0.03501945525291829,0.018569958516662134,Devin Ratray,Bruce Dern,Will Forte,0.1538461538461533,Adventure,Comedy,Drama,0.631578947368421,0.2696629213483146,R,USA
About Time,0.5,0.03501945525291829,0.016093653580649295,Tom Hughes,Tom Hollander,Lindsay Duncan,0.23076923076922995,Comedy,Drama,Fantasy,0.631578947368421,0.3595505617977528,R,UK
Amour,0.3333333333333144,0.02295719844357976,1.643461034238873e-06,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,0.3076923076923075,Drama,Romance,Suspense,0.8421052631578945,0.4044943820224718,PG-13,France
Nightcrawler,0.6666666666666288,0.021400778210116732,0.03423195529467333,Jake Gyllenhaal,Michael Papajohn,James Huang,0.3076923076923075,Crime,Drama,Thriller,0.368421052631579,0.3033707865168538,R,USA
50/50,0.16666666666662877,0.019455252918287935,0.037098147066882255,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,0.1538461538461533,Comedy,Drama,Romance,0.26315789473684204,0.101123595505618,R,USA
End of Watch,0.3333333333333144,0.015564202334630347,0.04352572851117006,Jake Gyllenhaal,Anna Kendrick,America Ferrera,0.1538461538461533,Crime,Drama,Thriller,0.1578947368421051,0.20224719101123578,R,USA
Dallas Buyers Club,0.5,0.007782101167315175,0.028910258673537272,Matthew McConaughey,Jennifer Garner,Denis O'Hare,0.38461538461538414,Biography,Drama,Suspense,0.5789473684210524,0.292134831460674,R,USA
Boyhood,0.6666666666666288,0.003891050583657586,0.026841447711818334,Ellar Coltrane,Lorelei Linklater,Libby Villari,0.3076923076923075,Drama,Music,Suspense,0.9999999999999998,0.8314606741573032,R,USA
Whiplash,0.6666666666666288,0.0011673151750972756,0.013741600278930044,J.K. Simmons,Melissa Benoist,Chris Mulkey,0.7692307692307683,Drama,Music,Suspense,0.6842105263157896,0.1797752808988764,R,USA
Before Midnight,0.5,0.0,0.00842625538374048,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,0.3076923076923075,Drama,Romance,Suspense,0.8421052631578945,0.20224719101123578,R,USA
Star Wars: Episode VII - The Force Awakens,0.8333333333333144,0.9416342412451362,1.0,Doug Walker,Rob Walker,Stonis,0.4615384615384608,Action,Adventure,Fantasy,0.4999999999999998,0.5056179775280898,PG-13,USA
Harry Potter and the Deathly Hallows: Part I,0.0,0.5719844357976653,0.3162235627147566,Rupert Grint,Toby Jones,Alfred Enoch,0.1538461538461533,Adventure,Family,Fantasy,0.07894736842105265,0.6179775280898876,PG-13,UK
Tucker and Dale vs Evil,0.0,0.007782101167315175,0.0,Katrina Bowden,Tyler Labine,Chelan Simmons,0.07692307692307665,Comedy,Horror,Suspense,0.07894736842105265,0.3707865168539324,R,Canada
